Feature/Subfeature,Description,View/Area,Type,Kill? (X to kill),Notes/Changes
_Last updated: 2026-06-25 (formerly 2026-06-16) — Mercury UX Retrofit, domain extraction, command registry, 3 new ViewKeys, 10+ architectural changes_,,,,,_

=== NAVIGATION & SHELL ===,,,,,
Side Navigation,Left sidebar nav organized into 5 groups: Decide Procure Sell Money Admin,Shell,Navigation,,,
Nav Group: Decide,"Dashboard, Reports",Shell,Navigation,,,
Nav Group: Procure,"Purchase Orders, Receipts, Intake, Inventory, Photography, Items/SKUs",Shell,Navigation,,,
Nav Group: Sell,"Sales, Matchmaking, Orders, Fulfillment, Pick Queue, Client Balances, Credit Review",Shell,Navigation,,,
Nav Group: Money,"Payments, Vendor Payouts, Disputes, Referees, Contacts",Shell,Navigation,,,
Nav Group: Admin,"Recovery, Closeout, Settings",Shell,Navigation,,,
SideNav Collapse/Expand,Toggle to collapse nav rail to icon-only (auto-collapses below 1024px),Shell,Navigation,,,
Keel Chips (Quick Actions),"5 persistent top-bar quick-action buttons: New Sale, New PO, Receive against PO, Money in, Money out",Shell,Navigation (Keel),,,
Low-Frequency Nav Collapse,"Secondary nav items (Receipts, Photography, Items, Credit Review, Disputes, Referees) hidden behind ""More"" disclosure",Shell,Navigation,,,
Command Palette,Global Cmd+K searchable command palette to run any system command,CommandPalette,Keyboard Shortcut,,,
Keyboard Shortcuts Overlay,Overlay showing all keyboard shortcuts,ShortcutsOverlay,Keyboard Shortcut,,,
Keyboard Shortcuts Registry,Cmd+1–6 bound to main views (Dashboard/Reports),Hotkeys,Keyboard Shortcut,,,
Mobile Auto-Redirect,"Viewports <768px auto-redirect to /mobile shell, with mapping for payments/inventory/pick/intake/catalog/contacts",App (LocationSync),Routing,,,
Mobile Shell,"Mobile-optimized shell at /mobile/* with own bottom-tab-style navigation. Routes: /mobile/dashboard, /mobile/inventory, /mobile/catalog, /mobile/payments, /mobile/contacts, /mobile/contacts/:id, /mobile/pick, /mobile/intake",MobileShell,Mobile,N/A (mobile),2026-06-25: mobile routes now use React Router under /mobile/*
Feedback Capture Widget,"Crikket-based in-app feedback capture (screenshot + annotation)",FeedbackCapture,Shared Component,,,
Toast Center,Centralized toast notification display for command results,ToastCenter,Shared Component,,,
Confirm Root,Confirmation dialog root for destructive actions,ConfirmRoot,Shared Component,,,
Context Drawer,Right-side context drawer showing entity details (canvas grammar feature),ContextDrawer,Shared Component,,,
Identity Ribbon,Top ribbon showing current user identity context (canvas grammar feature),IdentityRibbon,Shared Component,,,
Error Boundary,React error boundary wrapping entire app,ErrorBoundary,Shared Component,,2026-06-19: error boundaries added at multiple levels (router split)
Agentation (Copy as Markdown),Copy page state as markdown for agent paste,Agentation,Shared Component,,,
Server Unreachable Banner,Red banner when server is unreachable after login with Reconnect button,App,Notification,,,

=== DASHBOARD (Desktop) ===,,,,,
Dashboard View,Owner daily decision view with KPI cards work queues and health checks,DashboardView,Page,,2026-06-24: router-wire complete (R-07) — URL grammar + GridColDef export unification
Refresh Button,Manually refresh all dashboard data,DashboardView,Toolbar Action,,,
KPI Cards,"4 KPI cards (Cash, Payables, Receivables, etc.) — clickable to drill down",DashboardView,Panel / Widget,,,
KPI Drilldown Grid,Grid showing source data when a KPI card is clicked,DashboardView,Grid (Drilldown),,,
